student_id,subject_scores,total_score,max_possible_score,percentage,total_questions,total_subjects,multiple_selections,unanswered_questions,timestamp,image_path,bubble_statistics,set,paper_file
SET1_Img1,"{'Subject_1': 13, 'Subject_2': 12, 'Subject_3': 15, 'Subject_4': 11, 'Subject_5': 17}",68,100,68.0,20,5,4,9,2025-09-20T13:00:36.620036,set1_papers/Img1.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 15, 'fill_rate': 0.15, 'multiple_selections': 4, 'rows': 20, 'cols': 5}",Set 1,Img1.jpeg
SET1_Img16,"{'Subject_1': 13, 'Subject_2': 12, 'Subject_3': 14, 'Subject_4': 16, 'Subject_5': 13}",68,100,68.0,20,5,5,10,2025-09-20T13:00:36.633664,set1_papers/Img16.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 19, 'fill_rate': 0.19, 'multiple_selections': 5, 'rows': 20, 'cols': 5}",Set 1,Img16.jpeg
SET1_Img17,"{'Subject_1': 13, 'Subject_2': 13, 'Subject_3': 15, 'Subject_4': 15, 'Subject_5': 16}",72,100,72.0,20,5,5,14,2025-09-20T13:00:36.646497,set1_papers/Img17.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 11, 'fill_rate': 0.11, 'multiple_selections': 5, 'rows': 20, 'cols': 5}",Set 1,Img17.jpeg
SET1_Img18,"{'Subject_1': 8, 'Subject_2': 10, 'Subject_3': 7, 'Subject_4': 7, 'Subject_5': 10}",42,100,42.0,20,5,14,5,2025-09-20T13:00:36.657413,set1_papers/Img18.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 59, 'fill_rate': 0.59, 'multiple_selections': 14, 'rows': 20, 'cols': 5}",Set 1,Img18.jpeg
SET1_Img19,"{'Subject_1': 12, 'Subject_2': 6, 'Subject_3': 9, 'Subject_4': 2, 'Subject_5': 15}",44,100,44.0,20,5,16,0,2025-09-20T13:00:36.682275,set1_papers/Img19.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 51, 'fill_rate': 0.51, 'multiple_selections': 16, 'rows': 20, 'cols': 5}",Set 1,Img19.jpeg
SET1_Img2,"{'Subject_1': 14, 'Subject_2': 11, 'Subject_3': 14, 'Subject_4': 7, 'Subject_5': 13}",59,100,59.0,20,5,13,1,2025-09-20T13:00:36.700973,set1_papers/Img2.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 34, 'fill_rate': 0.34, 'multiple_selections': 13, 'rows': 20, 'cols': 5}",Set 1,Img2.jpeg
SET1_Img20,"{'Subject_1': 11, 'Subject_2': 12, 'Subject_3': 14, 'Subject_4': 16, 'Subject_5': 14}",67,100,67.0,20,5,6,12,2025-09-20T13:00:36.803376,set1_papers/Img20.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 26, 'fill_rate': 0.26, 'multiple_selections': 6, 'rows': 20, 'cols': 5}",Set 1,Img20.jpeg
SET1_Img3,"{'Subject_1': 12, 'Subject_2': 12, 'Subject_3': 14, 'Subject_4': 14, 'Subject_5': 13}",65,100,65.0,20,5,7,6,2025-09-20T13:00:36.818084,set1_papers/Img3.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 22, 'fill_rate': 0.22, 'multiple_selections': 7, 'rows': 20, 'cols': 5}",Set 1,Img3.jpeg
SET1_Img4,"{'Subject_1': 12, 'Subject_2': 13, 'Subject_3': 14, 'Subject_4': 13, 'Subject_5': 12}",64,100,64.0,20,5,5,5,2025-09-20T13:00:36.832923,set1_papers/Img4.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 21, 'fill_rate': 0.21, 'multiple_selections': 5, 'rows': 20, 'cols': 5}",Set 1,Img4.jpeg
SET1_Img5,"{'Subject_1': 13, 'Subject_2': 15, 'Subject_3': 14, 'Subject_4': 12, 'Subject_5': 17}",71,100,71.0,20,5,5,9,2025-09-20T13:00:36.848752,set1_papers/Img5.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 16, 'fill_rate': 0.16, 'multiple_selections': 5, 'rows': 20, 'cols': 5}",Set 1,Img5.jpeg
SET1_Img6,"{'Subject_1': 13, 'Subject_2': 14, 'Subject_3': 15, 'Subject_4': 9, 'Subject_5': 12}",63,100,63.0,20,5,9,3,2025-09-20T13:00:36.863248,set1_papers/Img6.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 26, 'fill_rate': 0.26, 'multiple_selections': 9, 'rows': 20, 'cols': 5}",Set 1,Img6.jpeg
SET1_Img7,"{'Subject_1': 12, 'Subject_2': 13, 'Subject_3': 13, 'Subject_4': 16, 'Subject_5': 17}",71,100,71.0,20,5,4,11,2025-09-20T13:00:36.876835,set1_papers/Img7.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 14, 'fill_rate': 0.14, 'multiple_selections': 4, 'rows': 20, 'cols': 5}",Set 1,Img7.jpeg
SET1_Img8,"{'Subject_1': 13, 'Subject_2': 10, 'Subject_3': 11, 'Subject_4': 13, 'Subject_5': 17}",64,100,64.0,20,5,9,7,2025-09-20T13:00:36.890770,set1_papers/Img8.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 23, 'fill_rate': 0.23, 'multiple_selections': 9, 'rows': 20, 'cols': 5}",Set 1,Img8.jpeg
SET2_Img10,"{'Subject_1': 13, 'Subject_2': 14, 'Subject_3': 13, 'Subject_4': 7, 'Subject_5': 15}",62,100,62.0,20,5,8,3,2025-09-20T13:00:36.917112,set2_papers/Img10.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 30, 'fill_rate': 0.3, 'multiple_selections': 8, 'rows': 20, 'cols': 5}",Set 2,Img10.jpeg
SET2_Img11,"{'Subject_1': 7, 'Subject_2': 8, 'Subject_3': 6, 'Subject_4': 6, 'Subject_5': 11}",38,100,38.0,20,5,15,4,2025-09-20T13:00:36.942801,set2_papers/Img11.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 68, 'fill_rate': 0.68, 'multiple_selections': 15, 'rows': 20, 'cols': 5}",Set 2,Img11.jpeg
SET2_Img12,"{'Subject_1': 15, 'Subject_2': 13, 'Subject_3': 14, 'Subject_4': 9, 'Subject_5': 17}",68,100,68.0,20,5,8,12,2025-09-20T13:00:36.967978,set2_papers/Img12.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 20, 'fill_rate': 0.2, 'multiple_selections': 8, 'rows': 20, 'cols': 5}",Set 2,Img12.jpeg
SET2_Img13,"{'Subject_1': 14, 'Subject_2': 5, 'Subject_3': 8, 'Subject_4': 7, 'Subject_5': 15}",49,100,49.0,20,5,15,3,2025-09-20T13:00:36.994072,set2_papers/Img13.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 47, 'fill_rate': 0.47, 'multiple_selections': 15, 'rows': 20, 'cols': 5}",Set 2,Img13.jpeg
SET2_Img14,"{'Subject_1': 14, 'Subject_2': 12, 'Subject_3': 15, 'Subject_4': 6, 'Subject_5': 10}",57,100,56.99999999999999,20,5,11,3,2025-09-20T13:00:37.019874,set2_papers/Img14.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 31, 'fill_rate': 0.31, 'multiple_selections': 11, 'rows': 20, 'cols': 5}",Set 2,Img14.jpeg
SET2_Img15,"{'Subject_1': 4, 'Subject_2': 9, 'Subject_3': 6, 'Subject_4': 7, 'Subject_5': 11}",37,100,37.0,20,5,15,2,2025-09-20T13:00:37.044579,set2_papers/Img15.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 63, 'fill_rate': 0.63, 'multiple_selections': 15, 'rows': 20, 'cols': 5}",Set 2,Img15.jpeg
SET2_Img21,"{'Subject_1': 16, 'Subject_2': 15, 'Subject_3': 16, 'Subject_4': 12, 'Subject_5': 18}",77,100,77.0,20,5,4,13,2025-09-20T13:00:37.060540,set2_papers/Img21.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 11, 'fill_rate': 0.11, 'multiple_selections': 4, 'rows': 20, 'cols': 5}",Set 2,Img21.jpeg
SET2_Img22,"{'Subject_1': 14, 'Subject_2': 12, 'Subject_3': 15, 'Subject_4': 7, 'Subject_5': 17}",65,100,65.0,20,5,6,6,2025-09-20T13:00:37.073034,set2_papers/Img22.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 23, 'fill_rate': 0.23, 'multiple_selections': 6, 'rows': 20, 'cols': 5}",Set 2,Img22.jpeg
SET2_Img23,"{'Subject_1': 16, 'Subject_2': 13, 'Subject_3': 11, 'Subject_4': 8, 'Subject_5': 18}",66,100,66.0,20,5,12,7,2025-09-20T13:00:37.084314,set2_papers/Img23.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 32, 'fill_rate': 0.32, 'multiple_selections': 12, 'rows': 20, 'cols': 5}",Set 2,Img23.jpeg
SET2_Img9,"{'Subject_1': 14, 'Subject_2': 11, 'Subject_3': 12, 'Subject_4': 12, 'Subject_5': 3}",52,100,52.0,20,5,8,1,2025-09-20T13:00:37.111270,set2_papers/Img9.jpeg,"{'total_bubbles': 100, 'filled_bubbles': 34, 'fill_rate': 0.34, 'multiple_selections': 8, 'rows': 20, 'cols': 5}",Set 2,Img9.jpeg
